LOCALITY_CODE,LOCALITYNAME,ltv_voters,enr_name,enr_ballots,Locality,Delta,pct
001,ACCOMACK COUNTY,12294,ACCOMACK COUNTY,12311,ACCOMACK COUNTY,-17,0.13827883520416462
003,ALBEMARLE COUNTY,49404,ALBEMARLE COUNTY,49344,ALBEMARLE COUNTY,60,0.12144765606023804
005,ALLEGHANY COUNTY,5729,ALLEGHANY COUNTY,5733,ALLEGHANY COUNTY,-4,0.0698202129516495
007,AMELIA COUNTY,6169,AMELIA COUNTY,6162,AMELIA COUNTY,7,0.11347057869995136
009,AMHERST COUNTY,12908,AMHERST COUNTY,12892,AMHERST COUNTY,16,0.12395413696932135
011,APPOMATTOX COUNTY,7340,APPOMATTOX COUNTY,7328,APPOMATTOX COUNTY,12,0.16348773841961853
013,ARLINGTON COUNTY,84048,ARLINGTON COUNTY,84089,ARLINGTON COUNTY,-41,0.0487816485817628
015,AUGUSTA COUNTY,34092,AUGUSTA COUNTY,34109,AUGUSTA COUNTY,-17,0.04986507098439516
017,BATH COUNTY,1860,BATH COUNTY,1855,BATH COUNTY,5,0.2688172043010753
019,BEDFORD COUNTY,38612,BEDFORD COUNTY,38563,BEDFORD COUNTY,49,0.12690355329949238
021,BLAND COUNTY,2497,BLAND COUNTY,2499,BLAND COUNTY,-2,0.08009611533840609
023,BOTETOURT COUNTY,16753,BOTETOURT COUNTY,16740,BOTETOURT COUNTY,13,0.07759804214170597
025,BRUNSWICK COUNTY,5621,BRUNSWICK COUNTY,5617,BRUNSWICK COUNTY,4,0.07116171499733144
027,BUCHANAN COUNTY,5274,BUCHANAN COUNTY,5277,BUCHANAN COUNTY,-3,0.05688282138794084
029,BUCKINGHAM COUNTY,5962,BUCKINGHAM COUNTY,5930,BUCKINGHAM COUNTY,32,0.5367326400536733
031,CAMPBELL COUNTY,22105,CAMPBELL COUNTY,22299,CAMPBELL COUNTY,-194,0.8776294955892333
